obat_id,label,nilai,urutan
201,Product Description,Vitamin D3+K2 IPI TUBE merupakan vitamin yang digunakan untuk memenuhi kebutuhan vitamin D3 dan K2. Kombinasi vitamin D3 dengan vitamin K2 bekerja secara sinergis yaitu membantu memelihara kesehatan tulang,1
201,Indikasi Umum,Menjaga kesehatan tulang,2
201,Komposisi,Vitamin D3 dan Vitamin K2,3
201,Dosis,"1 kali sehari, 1 tablet",4
201,Aturan Pakai,"Dikonsumsi setelah makan, atau sesuai petunjuk dokter",5
201,Perhatian,"Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis",6
201,Kemasan,Botol @ 25 Tab,7
201,Manufaktur,Tempo Scan Pasific,8
201,No. Registrasi,BPOM : SD211552121,9
202,Product Description,Tolak Angin Cair Plus Madu merupakan obat herbal terstandar yang mengandung kombinasi berbagai herbal alami yang dapat digunakan untuk membantu memelihara atau menjaga daya tahan tubuh dan meringankan gejala masuk angin.,1
202,Indikasi Umum,"Herbal untuk membantu meringankan gejala masuk angin, seperti: pusing, meriang, kembung, sakit perut, tengorokan kering, mual dan muntah, serta membantu memelihara atau menjaga daya tahan tubuh. Tolak angin cair juga dapat diminum saat perjalanan jauh, kecapaian dan kurang tidur.",2
202,Komposisi,"Ekstrak bahan: Oryza sativa 20%, foeniculum vulgare fructus 10%, helicteres isora fructus 10%, zingiber officinale rhizoma, myristica fragrans semen, cinnamomum burmanni cotex, centella asiatica herba, parkia roxburghii semen, amomum compactum fructus, usnea missaminensis thalus, mel depuratum (madu) dan bahan lain hingga 15 ml.",3
202,Dosis,"Untuk membantu menjaga daya tahan tubuh: minum 1 sachet, 2 kali per hari. Selama 7 hari atau lebih. Jika masuk angin/sakit perut dan diare: minum 3-4 sachet per hari. Sebelum melakukan perjalanan minum 1 sachet, atau 1-3 sachet pada waktu mabuk perjalanan. Saat kecapaian dan kurang tidur, minum 1 sachet.",4
202,Aturan Pakai,Kocok dahulu sebelum diminum. Sesudah makan. Obat dapat langsung diminum atau dapat dicampur dengan air.,5
202,Efek Samping,"Pemakaian obat umumnya memiliki efek samping tertentu dan sesuai dengan masing-masing individu. Jika terjadi efek samping yang berlebih dan berbahaya, harap konsultasikan kepada tenaga medis.",6
202,Kemasan,"Dus, 12 Sachet @ 15 ml",7
202,Manufaktur,Sido Muncul,8
202,No. Registrasi,BPOM: HT122600301,9
203,Product Description,"IPI Mineral Zinc Plus Selenium adalah suplemen kesehatan yang mengandung Mineral Zinc dan Selenium untuk memenuhi kebutuhan tubuh akan Mineral Zinc dan Selenium, sebagai senyawa yang mendukung kerja enzim metabolisme di dalam tubuh, sebagai sistem pertahanan tubuh dari radikal bebas dan infeksi, dan memiliki peranan dalam perkembangan sel-sel yang bekerja dalam sistem daya tahan tubuh.",1
204,Product Description,"L-Vit D3 Drops merupakan suplemen yang membantu memelihara fungsi imun, membantu memelihara kesehatan tulang, membantu memenuhi kebutuhan Vitamin D dan suplementasi Vitamin D",1
