id,nama,harga,diskon_persen,kategori,path_gambar
1,Vitamin D3+K2 IPI untuk Memelihara Kesehatan Tulang (25 Tablet),12500,0,Vitamin dan Suplemen,products/Vitamin-D3plusK2-IPI-untuk-Memelihara-Kesehatan-Tulang-(25-Tablet).jpg
2,Tolak Angin Cair Plus Madu Box 15 ml (12 Sachet),56400,0,Vitamin dan Suplemen,products/Tolak-Angin-Cair-Plus-Madu-Box-15-ml-(12-Sachet).jpg
3,Zinc Plus Selenium IPI untuk Memenuhi Kebutuhan Mineral (45 Tablet),6800,0,Vitamin dan Suplemen,products/Zinc-Plus-Selenium-IPI-untuk-Memenuhi-Kebutuhan-Mineral-(45-Tablet).jpg
4,L-Vit D3 Drops untuk Memenuhi Kebutuhan Vitamin D (15 ml),59900,0,Vitamin dan Suplemen,products/L-Vit-D3-Drops-untuk-Memenuhi-Kebutuhan-Vitamin-D-(15-ml).jpg
5,Vitacimin untuk Kebutuhan Vitamin C (Pack - 10 Strip),22000,0,Vitamin dan Suplemen,products/Vitacimin-untuk-Kebutuhan-Vitamin-C-(Pack---10-Strip).jpg
6,Vitamin C 50 Mg IPI (45 Tablet),50,0,Vitamin dan Suplemen,products/Vitamin-C-50-Mg-IPI-(45-Tablet).jpg
7,Vitamin D3 1000 IU IPI untuk Memenuhi Kebutuhan Vitamin D (70 Tablet),13000,0,Vitamin dan Suplemen,products/Vitamin-D3-1000-IU-IPI-untuk-Memenuhi-Kebutuhan-Vitamin-D-(70-Tablet).jpg
8,Becom-Zet Multivitamin dan Mineral Zinc (10 Kaplet),29700,0,Vitamin dan Suplemen,products/Becom-Zet-Multivitamin-dan-Mineral-Zinc-(10-Kaplet).jpg
9,Neurobion Forte 5000 mg (10 Tablet),47700,0,Vitamin dan Suplemen,products/Neurobion-Forte-5000-mg-(10-Tablet).jpg
10,Prove D3-1000 IU Suplementasi Vitamin D (30 Tablet),120000,0,Vitamin dan Suplemen,products/Prove-D3-1000-IU-Suplementasi-Vitamin-D-(30-Tablet).jpg
11,Vitamin B Complex IPI (45 Tablet),6500,0,Vitamin dan Suplemen,products/Vitamin-B-Complex-IPI-(45-Tablet).jpg
12,Natur E White Suplemen Kulit (32 Kapsul),108900,0,Vitamin dan Suplemen,products/Natur-E-White-Suplemen-Kulit-(32-Kapsul).jpg
13,Tolak Angin Cair + Madu 15 ml Box (5 Sachet),22300,0,Vitamin dan Suplemen,products/Tolak-Angin-Cair-plus-Madu-15-ml-Box-(5-Sachet).jpg
