obat_id,label,nilai,urutan
101,Product Description,"Paracetamol 500 mg Tablet merupakan obat yang dapat digunakan untuk meringankan rasa sakit pada sakit kepala, sakit gigi, dan menurunkan demam. Paracetamol bekerja pada pusat pengatur suhu di hipotalamus untuk menurunkan suhu tubuh (antipiretik) serta menghambat sintesis prostaglandin sehingga dapat mengurangi nyeri ringan sampai sedang (analgesik).",1
101,Indikasi Umum,"Obat ini digunakan untuk meredakan nyeri ringan hingga sedang seperti sakit kepala, sakit gigi, nyeri otot, serta menurunkan demam.",2
101,Komposisi,Paracetamol 500 mg.,3
101,Dosis,"Dewasa: 1-2 kaplet, 3-4 kali per hari. Penggunaan maximum 8 kaplet per hari. Anak 7-12 tahun : 0.5 1 kaplet, 3-4 kali per hari. Penggunaan maximum 4 kaplet per hari.",4
101,Aturan Pakai,Obat dapat diminum sebelum atau sesudah makan.,5
101,Perhatian,"Hati-hati penggunaan pada pasien dengan gagal ginjal, gangguan fungsi hati, dan alergi atau mengalami hipersensitivitas terhadap paracetamol.",6
101,Kontra Indikasi,Parasetamol jangan diberikan kepada penderita hipersensitif/alergi terhadap Paracetamol. Penderita gangguan fungsi hati berat.,7
101,Efek Samping,"Demam, mual, nyeri lambung, kehilangan nafsu makan, urin berwarna gelap, tinja / kotoran berwarna coklat kemerahan, mata atau kulit berwarna kuning, tinja/kotoran berdarah atau berwarna hitam.",8
101,Kemasan,1 Strip @ 10 Tablet,9
101,Manufaktur,First Medifarma,10
101,No. Registrasi,BPOM: GBL9607102904A1,11
102,Product Description,"Alkohol Swab Onemed digunakan untuk antiseptik pre-injeksi, pemasangan IV, pengambilan darah, melepas jahitan, atau tindakan lainnya yang memerlukan antisepsi.",1
102,Indikasi Umum,"Antiseptik untuk tindakan pre-injeksi, pemasangan IV, pengambilan darah, melepas jahitan, atau tindakan lainnya yang memerlukan antisepsi.",2
102,Komposisi,Alkohol (Ethanol) 70%.,3
102,Aturan Pakai,"Usapkan pada tempat yang akan diinjeksi, luka bekas injeksi/pengambilan darah, juga pada alat kesehatan.",4
102,Perhatian,"Hanya untuk pemakaian luar dan sekali pakai, buanglah bekas alkohol swab ini pada limbah medis. Jauhkan dari jangkauan anak-anak.",5
102,Kemasan,Box @ 100 Pcs,6
102,Manufaktur,Jayamas Medica Industri,7
102,No. Registrasi,Kemenkes RI: AKD 10903010280,8
103,Product Description,Peditox Liquid merupakan obat dengan kandungan Permethrin 1% dalam bentuk liquid. Obat ini digunakan untuk pengobatan pada kutu rambut dan pencegahan pada epidemi kutu rambut.,1
103,Indikasi Umum,Membasmi kutu rambut.,2
103,Komposisi,Hexachlorocyclohexane 0.5%.,3
103,Dosis,Cukup diaplikasikan satu kali per hari untuk membunuh kutu atau telurnya.,4
103,Aturan Pakai,"Aplikasikan produk secukupnya ke rambut yang telah dicuci dengan sampo dan kulit kepala (terutama di daerah belakang telinga dan tengkuk leher). Diamkan sekitar 10 menit, bilas dengan air bersih dan keringkan dengan handuk.Jika masih terdapat kutu hidup dalam waktu 7 hari atau lebih sesudah pemberian aplikasi pertama berikan aplikasi yang kedua.",5
103,Perhatian,"Penggunaan secara rutin, tidak direkomendasikan.",6
103,Kontra Indikasi,Hipersensitivitas.,7
103,Efek Samping,Panas pada kulit kepala.,8
103,Kemasan,Botol @ 50 ml,9
103,Manufaktur,Combiphar,10
103,No. Registrasi,BPOM: DTL1304132941A1,11
104,Product Description,"Antimo Anak Rasa Strawberry merupakan obat cair bersertifikat halal yang diformulasikan khusus untuk meredakan sekaligus mencegah mabuk perjalanan pada anak, yang ditandai dengan rasa mual, muntah, serta pusing.",1
104,Indikasi Umum,"Meredakan mabuk perjalanan pada anak ketika pergi menggunaakan kendaraan bermotor, pesawat, kapal, atau kereta. Mengurangi rasa mual dan muntah.",2
104,Komposisi,"Tiap sachet mengandung dimenhidrinat 12,5 mg.",3
104,Dosis,"Anak-anak berusia 2 hingga 6 tahun: 1-2 sachet setiap 6 atau 8 jam/hari, maksimal 75 mg sehari. Anak-anak berusia 6 hingga 12 tahun: 2 sachet setiap 6-8 jam/hari, maksimal 150 mg sehari.",4
104,Aturan Pakai,Dikonsumsi setelah setelah makan. Dapat diberikan pada anak setengah jam sebelum berpergian.,5
104,Perhatian,Ibu hamil dan menyusui. Anak berusia di bawah 2 tahun. Pasien dengan gangguan fungsi hati.,6
104,Kontra Indikasi,Penderita hipersensitif terhadap dimenhidrinat. Pasien yang menderita gangguan fungsi hati dan ginjal yang berat. Pasien yang menderita gangguan buang air kecil. Pasien yang mengalami tekanan pada saraf mata atau glaukoma. Pasien yang mengalami hipokalemia atau kekurangan kadar kalium dalam tubuh.,7
104,Efek Samping,"Mengantuk, lemas atau lesu, pusing, sakit kepala.",8
104,Kemasan,10 Sachet @ 5 ml,9
104,Manufaktur,Phapros,10
105,Product Description,"Demacolin adalah obat yang digunakan untuk meringankan gejala flu seperti demam, sakit kepala, hidung tersumbat dan bersin-bersin.",1
